name,l/100km,cylinders,displacement,horsepower,weight,acceleration,model_year,origin
plymouth reliant 1981,9.42,4,2212.24,84.0,1081.81692,12.9,81,1
toyota starlet 1981,7.23,4,1294.57,58.0,796.05396,16.9,81,3
plymouth champ 1981,7.24,4,1409.28,64.0,850.485,16.4,81,1
honda civic 1300 1981,8.05,4,1327.35,60.0,798.32192,16.1,81,3
subaru 1981,8.75,4,1589.54,67.0,936.66748,17.8,81,3
datsun 210 mpg 1981,7.64,4,1392.9,65.0,895.8442,19.4,81,3
toyota tercel 1981,7.49,4,1458.44,62.0,929.8636,17.3,81,3
mazda glc 4 1981,8.29,4,1491.22,68.0,900.38012,16.0,81,3
plymouth horizon 4 1981,8.14,4,1720.64,63.0,1004.70628,14.9,81,1
ford escort 4w 1981,8.21,4,1605.93,65.0,927.59564,16.2,81,1
ford escort 2h 1981,9.45,4,1605.93,65.0,1079.54896,20.7,81,1
volkswagen jetta 1981,8.56,4,1720.64,74.0,993.36648,14.2,81,2
renault 18i 1981,8.19,4,1638.7,81.0,1052.3334399999999,15.8,81,2
honda prelude 1981,8.38,4,1753.41,75.0,1002.43832,14.4,81,3
toyota corolla 1981,8.72,4,1769.8,75.0,1065.9412,16.8,81,3
datsun 200sx 1981,8.59,4,1950.05,100.0,1186.14308,14.8,81,3
mazda 626 1981,8.94,4,1966.44,74.0,1195.21492,18.3,81,3
peugeot 505s turbo diesel 1981,10.05,4,2310.57,80.0,1465.10216,20.4,81,2
volvo diesel 1981,9.2,6,2376.12,76.0,1433.35072,19.6,81,2
toyota cressida 1981,11.12,6,2753.02,116.0,1315.4168,12.6,81,3
datsun 810 maxima 1981,11.68,6,2392.5,120.0,1329.02456,13.8,81,3
buick century 1981,12.61,6,3785.4,110.0,1549.01668,15.8,81,1
oldsmobile cutlass ls 1981,10.62,8,5735.45,105.0,1689.6302,19.0,81,1
ford granada gl 1981,13.99,6,3277.4,88.0,1387.99152,17.1,81,1
chrysler lebaron salon 1981,16.05,6,3687.08,85.0,1571.69628,16.6,81,1
chevrolet cavalier 1982,10.09,4,1835.34,88.0,1181.60716,19.6,82,1
chevrolet cavalier wagon 1982,10.46,4,1835.34,88.0,1197.48288,18.6,82,1
chevrolet cavalier 2-door 1982,8.31,4,1835.34,88.0,1086.35284,18.0,82,1
pontiac j2000 se hatchback 1982,9.11,4,1835.34,85.0,1167.9994,16.2,82,1
dodge aries se 1982,9.74,4,2212.24,84.0,1145.3198,16.0,82,1
pontiac phoenix 1982,10.46,4,2474.44,90.0,1240.57412,18.0,82,1
ford fairmont futura 1982,11.77,4,2294.18,92.0,1299.54108,16.4,82,1
amc concord dl 1982,12.28,4,2474.44,110.0,1376.65172,20.5,82,1
volkswagen rabbit l 1982,7.85,4,1720.64,74.0,898.11216,15.3,82,2
mazda glc custom l 1982,7.64,4,1491.22,68.0,918.5237999999999,18.2,82,3
mazda glc custom 1982,9.11,4,1491.22,68.0,893.57624,17.6,82,3
plymouth horizon miser 1982,7.44,4,1720.64,63.0,963.883,14.7,82,1
mercury lynx l 1982,7.85,4,1605.93,70.0,963.883,17.3,82,1
nissan stanza xe 1982,7.85,4,1966.44,88.0,979.75872,14.5,82,3
honda accord 1982,7.85,4,1753.41,75.0,1000.17036,14.5,82,3
toyota corolla 1982,8.31,4,1769.8,70.0,1018.31404,16.9,82,3
honda civic 1982,7.44,4,1491.22,67.0,891.30828,15.0,82,3
honda civic (auto) 1982,8.83,4,1491.22,67.0,891.30828,15.7,82,3
datsun 310 gx 1982,7.44,4,1491.22,67.0,904.91604,16.2,82,3
buick century limited 1982,11.3,6,2966.05,110.0,1335.82844,16.4,82,1
oldsmobile cutlass ciera (diesel) 1982,7.44,6,4293.39,85.0,1367.57988,17.0,82,1
chrysler lebaron medallion 1982,10.87,4,2556.37,92.0,1172.53532,14.5,82,1
ford granada l 1982,12.84,6,3801.78,112.0,1285.93332,14.7,82,1
toyota celica gt 1982,8.83,4,2359.73,96.0,1208.82268,13.9,82,3
dodge charger 2.2 1982,7.85,4,2212.24,84.0,1075.01304,13.0,82,1
chevrolet camaro 1982,10.46,4,2474.44,90.0,1338.0964,17.3,82,1
ford mustang gl 1982,10.46,4,2294.18,86.0,1265.52168,15.6,82,1
vw pickup 1982,6.42,4,1589.54,52.0,966.1509599999999,24.6,82,2
dodge rampage 1982,8.83,4,2212.24,84.0,1040.99364,11.6,82,1
ford ranger 1982,10.09,4,1966.44,79.0,1190.679,18.6,82,1
chevy s-10 1982,9.11,4,1950.05,82.0,1233.77024,19.4,82,1
